ticker,company_name,strategy_source,screener_rank,current_price,earnings_date,direction,direction_score,data_confidence_score,final_opportunity_score,best_strategy,candidate_action,warning_text
CSCO,Cisco Systems Inc,catalyst_confluence,1,94.30000305175781,2026-05-13,bullish,80,100,71,long_call,recommend,
USAR,USA Rare Earth Inc,coiled_setup,2,27.420000076293945,2026-05-06,bullish,85,100,67,long_call,watchlist,
RMBS,Rambus Inc,coiled_setup,3,118.0,2026-05-06,bullish,80,100,61,long_call,watchlist,
LUNR,Intuitive Machines Inc,coiled_setup,4,24.799999237060547,2026-05-06,bullish,66,100,57,long_call,no_trade,
BEAM,Beam Therapeutics Inc,coiled_setup,5,28.899999618530273,2026-05-06,bullish,64,98,46,long_call,no_trade,
AMAT,Applied Materials Inc,catalyst_confluence,2,410.82000732421875,2026-05-14,bullish,72,100,0,,no_trade,
CEG,Constellation Energy Corp,catalyst_confluence,3,320.4200134277344,2026-05-11,bullish,74,100,0,,no_trade,
SPG,Simon Property Group Inc,catalyst_confluence,4,202.30999755859375,2026-05-11,neutral,54,100,0,,no_trade,
VG,Venture Global Inc,catalyst_confluence,5,13.020000457763672,2026-05-12,neutral,54,100,0,,no_trade,
GME,Gamestop Corp,coiled_setup,1,24.229999542236328,2026-05-06,neutral,52,100,0,,no_trade,
